Table_Name,Column_Name,Range_Min,Range_Max,Result Set Returned,Avg_Execution_Time,Med_Execution_Time,Std_Deviation
lineitem_table,L_EXTENDEDPRICE,86047.78988,104856.87052,144364,17.622173976898193,17.07824206352234,1.5759658135867147
lineitem_table,L_EXTENDEDPRICE,21605.28726,59557.85011,3060711,38.82573380470276,38.20467031002045,21.28550814560724
lineitem_table,L_EXTENDEDPRICE,86047.78988,104856.87052,144364,23.326656103134155,23.33573579788208,1.0604569723715105
lineitem_table,L_EXTENDEDPRICE,21605.28726,59557.85011,3060711,72.18476965427399,68.87215733528137,49.05608805803872
order_table,O_TOTALPRICE,116627.14727,116627.14727,852853,8.520730209350585,8.222301721572876,0.8323623683451767
order_table,O_TOTALPRICE,308118.92117,308118.92117,70793,9.490855240821839,8.232794642448425,3.8423106903040978
order_table,O_TOTALPRICE,116627.14727,116627.14727,4377261,164.7011049747467,164.57490038871765,19.411833615618054
order_table,O_TOTALPRICE,308118.92117,308118.92117,472781,96.9113424062729,84.10944330692291,69.19174121644839
lineitem_table,L_ORDERKEY,3998052,5522103,1523670,61.73041977882385,54.51722741127014,13.986258979480294
lineitem_table,L_ORDERKEY,223847,2689599,2464599,50.83829641342163,44.94587171077728,14.720297389901319
lineitem_table,L_ORDERKEY,3998052,5522103,1523670,45.9287456035614,45.0112886428833,3.6442321463830503
lineitem_table,L_ORDERKEY,223847,2689599,2464599,59.6538244009018,59.063753962516785,14.415190448208714
order_table,O_ORDERKEY,3998052,5522103,1523670,42.91130800247193,41.54026556015015,3.3107396636426745
order_table,O_ORDERKEY,223847,2689599,2464599,63.69580490589142,64.41072690486908,21.057023275568984
order_table,O_ORDERKEY,3998052,5522103,1,1.5786975383758546,1.6600515842437744,0.17713650218015384
order_table,O_ORDERKEY,223847,2689599,1,2.1584383726119993,2.1237517595291138,0.6079302333278137
